reference-to-reference: aHash=2 rmse16=0.0493 rmse8=0.0392

artist                   identifier                          aHash   rmse16    rmse8
Asking Alexandria        8b4e3a39848be8ecac941e0ce5639d5d       17   0.3114   0.2965
A Day to Remember        aaa15d668fb06f9e02816f606b6122b8       18   0.3620   0.3430
Electric Callboy         c043f010f24c5c9c2c4fabd49f2e9479       22   0.4002   0.3893
Chelsea Grin             6c5e6d3478c72f8cbffd3ec1d1a6549d       26   0.4458   0.4296
Oceano                   94c084faa8059fa032d0dfe8371f9983       25   0.5109   0.5024
Lorna Shore              5d670c3280ab0a80c80d39e50ce5cb85       23   0.5257   0.5240
Woe, Is Me               f03e6ab2e55583288cacf14bdb1b45f5       28   0.5388   0.5177
From Ashes to New        f22bca7c96b2ca684cb354c68923dc14       26   0.5746   0.5699
Until I Wake             31b347bf5f862344fa407b24356eecdc       34   0.6276   0.6236
The Browning             e6512732ab5cc8d1727d083485c065a4       31   0.6366   0.6318
Annisokay                eab0f74db967c88b1abe5b365c3bb460       34   0.6655   0.6613
Bring Me The Horizon     d159e783c1f419ae27fd2deca5b89b54       31   0.6862   0.6842
As I Lay Dying           cfdc9597ad843b83c501172c94b0ca7c       44   0.6967   0.6941
Bury Tomorrow            e7dc5e9d8f85d33bf249b016c8de7c0c       27   0.7017   0.7008
The Devil Wears Prada    ce8738d5e5bfbfa515d9ba9ec4a0c62a       43   0.7123   0.7087
Dead by April            7f79c1dcb6c8f85f35613eff645cebcc       37   0.7199   0.7175
Woe, Is Me               358fd701afabce6e9c4638b5c0e3fed6       28   0.7251   0.7234
Falling in Reverse       0d156d38a772589703669d9e5c2ac747       55   0.7368   0.7307
Chelsea Grin             e594fd1a90fca0d49be47724e3d3bd3c       44   0.7548   0.7537
Chelsea Grin             81f6a2f66fc76507326a333ff9d156f5       41   0.7673   0.7635
Suicide Silence          4650083eb25b840cf7a7ea977916c820       40   0.7734   0.7704
Oceano                   68526b594bc647dea90845bf08c4dd67       45   0.8300   0.8287

candidates: 22
nearest photograph: aHash=17 rmse16=0.3114 rmse8=0.2965
