artist,identifier,fans,rmse16,rmse32,rmse64
A Day to Remember,aaa15d668fb06f9e02816f606b6122b8,489286,0.361887,0.379479,0.389357
A Foreign Affair,d0a2da85a6fead9cfa78769120ec2bce,251,0.315937,0.323618,0.332770
A Year Ago Today,cf1e1c37602abef81c065e1dd3a5ba33,27,0.251008,0.270305,0.284369
"Abyss, Watching Me",e30d71224d85b027e6c0d494bd113617,508,0.352858,0.355775,0.358452
Adept,901c394f098ded24d0063e58f12daf75,1,0.513056,0.524028,0.533289
Adept,f660a36bbd9dbd818761f2934a0f19ee,14704,0.633592,0.639560,0.643295
Adept,24fe3812681a54b8233f5bfb345e72f6,835,0.795146,0.795635,0.796031
Aetheriality,895abde025e12b5703f7e5c75cc63d6c,8,0.000000,0.000000,0.000000
Amyst,976194eb9a6f83965498b267cf5829b5,2346,0.562942,0.580876,0.589213
Anchors & Hearts,d41bc48531b7a52b93b8bfeea88a2f73,802,0.562126,0.571454,0.579628
Annisokay,eab0f74db967c88b1abe5b365c3bb460,25117,0.669199,0.670957,0.671801
Any Given Day,dde9b2449a88e7ef3cd55457e611dc9b,17598,0.442043,0.466242,0.476674
Any Given Day,a0826d350f898f1d5666edd65f4de4b7,1,0.354086,0.362123,0.368359
Archers,611740d740ab807ae2652651f33a6a7b,1090,0.333380,0.342340,0.348544
Artemis Rising,9a8f53b68139530f59511be035f0e440,487,0.589595,0.596518,0.599457
As Everything Unfolds,9b7ed24ae9d15f830fb26d43480789b8,3040,0.575851,0.581310,0.583171
As I Lay Dying,cfdc9597ad843b83c501172c94b0ca7c,121479,0.696509,0.697785,0.698942
As We Survive,7a12932a5bfb8e604b3126644d2bad37,54,0.597883,0.602592,0.605363
Asking Alexandria,8b4e3a39848be8ecac941e0ce5639d5d,630330,0.311517,0.316962,0.320965
At The Ruins,9d522034b2f66b8093b55a33b1abc45d,60,0.789579,0.789749,0.789855
Avalanche Effect,4196e9b85feec68a5f6881f7c9d9e71f,570,0.646036,0.652797,0.656703
Awake Past Midnight,02d26312384b5503f5506e972763e0db,7,0.710409,0.719153,0.740678
BLOODMOON,fb3b89371002960b7bdec41f4ee55afa,12,0.721812,0.724356,0.726565
BLOODMOON,ae54709a4798b065489fe7fe06d15eef,154,0.669528,0.673621,0.675705
Before I Turn,abb87b80a1fa35a41029277b42991128,1198,0.727706,0.728454,0.729255
Before the Decay,615ebe9ddc72f454fda6c68313016d10,33,0.688380,0.690028,0.691278
Blessthefall,df06164dab62b3978d205f06739f2708,156773,0.468774,0.485791,0.493150
Brand of Sacrifice,24b087d06d5e352a55293e994e14747d,13543,0.787520,0.788515,0.789279
Breaking Benjamin,fbfe5fa355f1f81e67377385e9a2a9ad,734339,0.792214,0.793177,0.794152
Breathe Atlantis,d548eabf587484bdbf0fbe32b7a269a3,1223,0.598473,0.607084,0.612249
Breathe Atlantis,99282a77932ff971c0d747b66458b7f0,0,0.664761,0.672822,0.678300
Bring Me The Horizon,d159e783c1f419ae27fd2deca5b89b54,1305952,0.686173,0.687352,0.688502
Bring Me the Horizon,d159e783c1f419ae27fd2deca5b89b54,1305952,0.686173,0.687352,0.688502
